Client Count CSCI B-02
Generated: 2015-Nov-13, 12:30:00 GMT+00:00
Report By: Floor Area
Connection Protocol/SSID: All Clients/All SSIDs
Reporting Period: Last 1 hour
 
Total Client Count
Total Count,Event Time,Associated Client Count,Authenticated Client Count
total,Fri Nov 13 11:34:13 GMT+00:00 2015,11,11
total,Fri Nov 13 11:39:25 GMT+00:00 2015,11,11
total,Fri Nov 13 11:44:06 GMT+00:00 2015,11,11
total,Fri Nov 13 11:49:20 GMT+00:00 2015,11,11
total,Fri Nov 13 11:54:36 GMT+00:00 2015,14,14
total,Fri Nov 13 12:00:04 GMT+00:00 2015,15,14
total,Fri Nov 13 12:04:58 GMT+00:00 2015,14,14
total,Fri Nov 13 12:09:51 GMT+00:00 2015,14,14
total,Fri Nov 13 12:14:44 GMT+00:00 2015,15,15
total,Fri Nov 13 12:19:41 GMT+00:00 2015,13,13
total,Fri Nov 13 12:25:21 GMT+00:00 2015,14,14
Client Count
Key,Event Time,Associated Client Count,Authenticated Client Count
Belfield > Computer Science > B-002,Fri Nov 13 11:34:13 GMT+00:00 2015,11,11
Belfield > Computer Science > B-002,Fri Nov 13 11:39:25 GMT+00:00 2015,11,11
Belfield > Computer Science > B-002,Fri Nov 13 11:44:06 GMT+00:00 2015,11,11
Belfield > Computer Science > B-002,Fri Nov 13 11:49:20 GMT+00:00 2015,11,11
Belfield > Computer Science > B-002,Fri Nov 13 11:54:36 GMT+00:00 2015,14,14
Belfield > Computer Science > B-002,Fri Nov 13 12:00:04 GMT+00:00 2015,15,14
Belfield > Computer Science > B-002,Fri Nov 13 12:04:58 GMT+00:00 2015,14,14
Belfield > Computer Science > B-002,Fri Nov 13 12:09:51 GMT+00:00 2015,14,14
Belfield > Computer Science > B-002,Fri Nov 13 12:14:44 GMT+00:00 2015,15,15
Belfield > Computer Science > B-002,Fri Nov 13 12:19:41 GMT+00:00 2015,13,13
Belfield > Computer Science > B-002,Fri Nov 13 12:25:21 GMT+00:00 2015,14,14
