,Campus,Building,Room,Capacity,Date,Day,SurveyPercentage,Count,LogDate,Module,NoStudents,WeekNo
0,Belfield,Computer Science,B-004,220,2015-11-03 09:00:00,Tue,0.75,62,2015-11-03 09:02:20,COMP41450 & COMP30120,143,45/2015
1,Belfield,Computer Science,B-004,220,2015-11-03 09:00:00,Tue,0.75,95,2015-11-03 09:07:24,COMP41450 & COMP30120,143,45/2015
2,Belfield,Computer Science,B-004,220,2015-11-03 09:00:00,Tue,0.75,113,2015-11-03 09:12:01,COMP41450 & COMP30120,143,45/2015
3,Belfield,Computer Science,B-004,220,2015-11-03 09:00:00,Tue,0.75,119,2015-11-03 09:16:53,COMP41450 & COMP30120,143,45/2015
4,Belfield,Computer Science,B-004,220,2015-11-03 09:00:00,Tue,0.75,124,2015-11-03 09:21:55,COMP41450 & COMP30120,143,45/2015
5,Belfield,Computer Science,B-004,220,2015-11-03 09:00:00,Tue,0.75,122,2015-11-03 09:27:00,COMP41450 & COMP30120,143,45/2015
6,Belfield,Computer Science,B-004,220,2015-11-03 09:00:00,Tue,0.75,124,2015-11-03 09:32:07,COMP41450 & COMP30120,143,45/2015
7,Belfield,Computer Science,B-004,220,2015-11-03 09:00:00,Tue,0.75,125,2015-11-03 09:37:18,COMP41450 & COMP30120,143,45/2015
8,Belfield,Computer Science,B-004,220,2015-11-03 09:00:00,Tue,0.75,125,2015-11-03 09:42:20,COMP41450 & COMP30120,143,45/2015
9,Belfield,Computer Science,B-004,220,2015-11-03 09:00:00,Tue,0.75,130,2015-11-03 09:47:30,COMP41450 & COMP30120,143,45/2015
10,Belfield,Computer Science,B-004,220,2015-11-03 09:00:00,Tue,0.75,68,2015-11-03 09:52:47,COMP41450 & COMP30120,143,45/2015
11,Belfield,Computer Science,B-004,220,2015-11-03 09:00:00,Tue,0.75,20,2015-11-03 09:58:34,COMP41450 & COMP30120,143,45/2015
12,Belfield,Computer Science,B-002,90,2015-11-03 09:00:00,Tue,0.0,2,2015-11-03 09:02:20,,,45/2015
13,Belfield,Computer Science,B-002,90,2015-11-03 09:00:00,Tue,0.0,1,2015-11-03 09:07:24,,,45/2015
14,Belfield,Computer Science,B-002,90,2015-11-03 09:00:00,Tue,0.0,0,2015-11-03 09:12:01,,,45/2015
15,Belfield,Computer Science,B-002,90,2015-11-03 09:00:00,Tue,0.0,0,2015-11-03 09:16:53,,,45/2015
16,Belfield,Computer Science,B-002,90,2015-11-03 09:00:00,Tue,0.0,1,2015-11-03 09:21:55,,,45/2015
17,Belfield,Computer Science,B-002,90,2015-11-03 09:00:00,Tue,0.0,2,2015-11-03 09:27:00,,,45/2015
18,Belfield,Computer Science,B-002,90,2015-11-03 09:00:00,Tue,0.0,1,2015-11-03 09:32:07,,,45/2015
19,Belfield,Computer Science,B-002,90,2015-11-03 09:00:00,Tue,0.0,4,2015-11-03 09:37:18,,,45/2015
20,Belfield,Computer Science,B-002,90,2015-11-03 09:00:00,Tue,0.0,4,2015-11-03 09:42:20,,,45/2015
21,Belfield,Computer Science,B-002,90,2015-11-03 09:00:00,Tue,0.0,3,2015-11-03 09:47:30,,,45/2015
22,Belfield,Computer Science,B-002,90,2015-11-03 09:00:00,Tue,0.0,18,2015-11-03 09:52:47,,,45/2015
23,Belfield,Computer Science,B-002,90,2015-11-03 09:00:00,Tue,0.0,21,2015-11-03 09:58:34,,,45/2015
24,Belfield,Computer Science,B-003,90,2015-11-03 09:00:00,Tue,0.0,2,2015-11-03 09:02:20,,,45/2015
25,Belfield,Computer Science,B-003,90,2015-11-03 09:00:00,Tue,0.0,1,2015-11-03 09:07:24,,,45/2015
26,Belfield,Computer Science,B-003,90,2015-11-03 09:00:00,Tue,0.0,1,2015-11-03 09:12:01,,,45/2015
27,Belfield,Computer Science,B-003,90,2015-11-03 09:00:00,Tue,0.0,1,2015-11-03 09:16:53,,,45/2015
28,Belfield,Computer Science,B-003,90,2015-11-03 09:00:00,Tue,0.0,1,2015-11-03 09:21:55,,,45/2015
29,Belfield,Computer Science,B-003,90,2015-11-03 09:00:00,Tue,0.0,2,2015-11-03 09:27:00,,,45/2015
30,Belfield,Computer Science,B-003,90,2015-11-03 09:00:00,Tue,0.0,3,2015-11-03 09:32:07,,,45/2015
31,Belfield,Computer Science,B-003,90,2015-11-03 09:00:00,Tue,0.0,2,2015-11-03 09:37:18,,,45/2015
32,Belfield,Computer Science,B-003,90,2015-11-03 09:00:00,Tue,0.0,2,2015-11-03 09:42:20,,,45/2015
33,Belfield,Computer Science,B-003,90,2015-11-03 09:00:00,Tue,0.0,1,2015-11-03 09:47:30,,,45/2015
34,Belfield,Computer Science,B-003,90,2015-11-03 09:00:00,Tue,0.0,6,2015-11-03 09:52:47,,,45/2015
35,Belfield,Computer Science,B-003,90,2015-11-03 09:00:00,Tue,0.0,9,2015-11-03 09:58:34,,,45/2015
36,Belfield,Computer Science,B-004,220,2015-11-03 10:00:00,Tue,0.5,53,2015-11-03 10:03:51,COMP10130,112,45/2015
37,Belfield,Computer Science,B-004,220,2015-11-03 10:00:00,Tue,0.5,84,2015-11-03 10:08:42,COMP10130,112,45/2015
38,Belfield,Computer Science,B-004,220,2015-11-03 10:00:00,Tue,0.5,97,2015-11-03 10:13:08,COMP10130,112,45/2015
39,Belfield,Computer Science,B-004,220,2015-11-03 10:00:00,Tue,0.5,98,2015-11-03 10:18:06,COMP10130,112,45/2015
40,Belfield,Computer Science,B-004,220,2015-11-03 10:00:00,Tue,0.5,98,2015-11-03 10:23:02,COMP10130,112,45/2015
41,Belfield,Computer Science,B-004,220,2015-11-03 10:00:00,Tue,0.5,102,2015-11-03 10:28:09,COMP10130,112,45/2015
42,Belfield,Computer Science,B-004,220,2015-11-03 10:00:00,Tue,0.5,105,2015-11-03 10:33:16,COMP10130,112,45/2015
43,Belfield,Computer Science,B-004,220,2015-11-03 10:00:00,Tue,0.5,108,2015-11-03 10:38:22,COMP10130,112,45/2015
44,Belfield,Computer Science,B-004,220,2015-11-03 10:00:00,Tue,0.5,106,2015-11-03 10:43:31,COMP10130,112,45/2015
45,Belfield,Computer Science,B-004,220,2015-11-03 10:00:00,Tue,0.5,107,2015-11-03 10:48:43,COMP10130,112,45/2015
46,Belfield,Computer Science,B-004,220,2015-11-03 10:00:00,Tue,0.5,108,2015-11-03 10:54:35,COMP10130,112,45/2015
47,Belfield,Computer Science,B-002,90,2015-11-03 10:00:00,Tue,0.5,28,2015-11-03 10:03:51,COMP30110,45,45/2015
48,Belfield,Computer Science,B-002,90,2015-11-03 10:00:00,Tue,0.5,29,2015-11-03 10:08:42,COMP30110,45,45/2015
49,Belfield,Computer Science,B-002,90,2015-11-03 10:00:00,Tue,0.5,29,2015-11-03 10:13:08,COMP30110,45,45/2015
50,Belfield,Computer Science,B-002,90,2015-11-03 10:00:00,Tue,0.5,30,2015-11-03 10:18:06,COMP30110,45,45/2015
51,Belfield,Computer Science,B-002,90,2015-11-03 10:00:00,Tue,0.5,30,2015-11-03 10:23:02,COMP30110,45,45/2015
52,Belfield,Computer Science,B-002,90,2015-11-03 10:00:00,Tue,0.5,31,2015-11-03 10:28:09,COMP30110,45,45/2015
53,Belfield,Computer Science,B-002,90,2015-11-03 10:00:00,Tue,0.5,29,2015-11-03 10:33:16,COMP30110,45,45/2015
54,Belfield,Computer Science,B-002,90,2015-11-03 10:00:00,Tue,0.5,28,2015-11-03 10:38:22,COMP30110,45,45/2015
55,Belfield,Computer Science,B-002,90,2015-11-03 10:00:00,Tue,0.5,26,2015-11-03 10:43:31,COMP30110,45,45/2015
56,Belfield,Computer Science,B-002,90,2015-11-03 10:00:00,Tue,0.5,30,2015-11-03 10:48:43,COMP30110,45,45/2015
57,Belfield,Computer Science,B-002,90,2015-11-03 10:00:00,Tue,0.5,32,2015-11-03 10:54:35,COMP30110,45,45/2015
58,Belfield,Computer Science,B-003,90,2015-11-03 10:00:00,Tue,0.75,8,2015-11-03 10:03:51,,,45/2015
